"Year","Sport","N","Players"
1945,"Baseball",2,"Joe DiMaggio, Stan Musial"
1945,"Basketball",0,NA
1945,"Chess",1,"Mikhail Botvinnik"
1945,"Cricket",1,"Donald Bradman"
1945,"Football",1,"Don Hutson"
1945,"Golf",2,"Byron Nelson, Sam Snead"
1945,"Hockey",1,"Maurice Richard"
1945,"Soccer",4,"Alfredo di Stefano, Ferenc Puskas, Giuseppe Meazza, Hugo Sanchez"
1945,"Swimming",0,NA
1945,"Tennis",2,"Bill Tilden, Don Budge"
1946,"Baseball",3,"Joe DiMaggio, Stan Musial, Ted Williams"
1946,"Basketball",0,NA
1946,"Chess",1,"Mikhail Botvinnik"
1946,"Cricket",1,"Donald Bradman"
1946,"Football",1,"Otto Graham"
1946,"Golf",1,"Sam Snead"
1946,"Hockey",2,"Gordie Howe, Maurice Richard"
1946,"Soccer",4,"Alfredo di Stefano, Ferenc Puskas, Giuseppe Meazza, Hugo Sanchez"
1946,"Swimming",0,NA
1946,"Tennis",2,"Bill Tilden, Don Budge"
1947,"Baseball",3,"Joe DiMaggio, Stan Musial, Ted Williams"
1947,"Basketball",0,NA
1947,"Chess",1,"Mikhail Botvinnik"
1947,"Cricket",1,"Donald Bradman"
1947,"Football",1,"Otto Graham"
1947,"Golf",1,"Sam Snead"
1947,"Hockey",2,"Gordie Howe, Maurice Richard"
1947,"Soccer",4,"Alfredo di Stefano, Ferenc Puskas, Giuseppe Meazza, Hugo Sanchez"
1947,"Swimming",0,NA
1947,"Tennis",1,"Don Budge"
1948,"Baseball",3,"Joe DiMaggio, Stan Musial, Ted Williams"
1948,"Basketball",1,"George Mikan"
1948,"Chess",1,"Mikhail Botvinnik"
1948,"Cricket",1,"Donald Bradman"
1948,"Football",1,"Otto Graham"
1948,"Golf",1,"Sam Snead"
1948,"Hockey",2,"Gordie Howe, Maurice Richard"
1948,"Soccer",2,"Alfredo di Stefano, Ferenc Puskas"
1948,"Swimming",0,NA
1948,"Tennis",1,"Don Budge"
1949,"Baseball",3,"Joe DiMaggio, Stan Musial, Ted Williams"
1949,"Basketball",1,"George Mikan"
1949,"Chess",1,"Mikhail Botvinnik"
1949,"Cricket",1,"Donald Bradman"
1949,"Football",1,"Otto Graham"
1949,"Golf",1,"Sam Snead"
1949,"Hockey",2,"Gordie Howe, Maurice Richard"
1949,"Soccer",2,"Alfredo di Stefano, Ferenc Puskas"
1949,"Swimming",0,NA
1949,"Tennis",1,"Don Budge"
1950,"Baseball",3,"Joe DiMaggio, Stan Musial, Ted Williams"
1950,"Basketball",1,"George Mikan"
1950,"Chess",1,"Mikhail Botvinnik"
1950,"Cricket",0,NA
1950,"Football",1,"Otto Graham"
1950,"Golf",1,"Sam Snead"
1950,"Hockey",2,"Gordie Howe, Maurice Richard"
1950,"Soccer",2,"Alfredo di Stefano, Ferenc Puskas"
1950,"Swimming",0,NA
1950,"Tennis",1,"Don Budge"
1951,"Baseball",3,"Joe DiMaggio, Stan Musial, Ted Williams"
1951,"Basketball",1,"George Mikan"
1951,"Chess",1,"Mikhail Botvinnik"
1951,"Cricket",0,NA
1951,"Football",1,"Otto Graham"
1951,"Golf",1,"Sam Snead"
