"Player","Year","Sport"
"Alfredo di Stefano",1945,"Soccer"
"Alfredo di Stefano",1946,"Soccer"
"Alfredo di Stefano",1947,"Soccer"
"Alfredo di Stefano",1948,"Soccer"
"Alfredo di Stefano",1949,"Soccer"
"Alfredo di Stefano",1950,"Soccer"
"Alfredo di Stefano",1951,"Soccer"
"Alfredo di Stefano",1952,"Soccer"
"Alfredo di Stefano",1953,"Soccer"
"Alfredo di Stefano",1954,"Soccer"
"Alfredo di Stefano",1955,"Soccer"
"Alfredo di Stefano",1956,"Soccer"
"Alfredo di Stefano",1957,"Soccer"
"Alfredo di Stefano",1958,"Soccer"
"Alfredo di Stefano",1959,"Soccer"
"Alfredo di Stefano",1960,"Soccer"
"Alfredo di Stefano",1961,"Soccer"
"Alfredo di Stefano",1962,"Soccer"
"Alfredo di Stefano",1963,"Soccer"
"Alfredo di Stefano",1964,"Soccer"
"Alfredo di Stefano",1965,"Soccer"
"Alfredo di Stefano",1966,"Soccer"
"Diego Maradona",1976,"Soccer"
"Diego Maradona",1977,"Soccer"
"Diego Maradona",1978,"Soccer"
"Diego Maradona",1979,"Soccer"
"Diego Maradona",1980,"Soccer"
"Diego Maradona",1981,"Soccer"
"Diego Maradona",1982,"Soccer"
"Diego Maradona",1983,"Soccer"
"Diego Maradona",1984,"Soccer"
"Diego Maradona",1985,"Soccer"
"Diego Maradona",1986,"Soccer"
"Diego Maradona",1987,"Soccer"
"Diego Maradona",1988,"Soccer"
"Diego Maradona",1989,"Soccer"
"Diego Maradona",1990,"Soccer"
"Diego Maradona",1991,"Soccer"
"Diego Maradona",1992,"Soccer"
"Diego Maradona",1993,"Soccer"
"Diego Maradona",1994,"Soccer"
"Diego Maradona",1995,"Soccer"
"Diego Maradona",1996,"Soccer"
"Diego Maradona",1997,"Soccer"
"Ferenc Puskas",1943,"Soccer"
"Ferenc Puskas",1944,"Soccer"
"Ferenc Puskas",1945,"Soccer"
"Ferenc Puskas",1946,"Soccer"
"Ferenc Puskas",1947,"Soccer"
"Ferenc Puskas",1948,"Soccer"
"Ferenc Puskas",1949,"Soccer"
"Ferenc Puskas",1950,"Soccer"
"Ferenc Puskas",1951,"Soccer"
"Ferenc Puskas",1952,"Soccer"
"Ferenc Puskas",1953,"Soccer"
"Ferenc Puskas",1954,"Soccer"
"Ferenc Puskas",1955,"Soccer"
"Ferenc Puskas",1956,"Soccer"
"Ferenc Puskas",1957,"Soccer"
"Ferenc Puskas",1958,"Soccer"
"Ferenc Puskas",1959,"Soccer"
"Ferenc Puskas",1960,"Soccer"
"Ferenc Puskas",1961,"Soccer"
"Ferenc Puskas",1962,"Soccer"
"Ferenc Puskas",1963,"Soccer"
"Ferenc Puskas",1964,"Soccer"
"Ferenc Puskas",1965,"Soccer"
"Ferenc Puskas",1966,"Soccer"
"Giuseppe Meazza",1927,"Soccer"
"Giuseppe Meazza",1928,"Soccer"
"Giuseppe Meazza",1929,"Soccer"
"Giuseppe Meazza",1930,"Soccer"
"Giuseppe Meazza",1931,"Soccer"
"Giuseppe Meazza",1932,"Soccer"
"Giuseppe Meazza",1933,"Soccer"
"Giuseppe Meazza",1934,"Soccer"
"Giuseppe Meazza",1935,"Soccer"
"Giuseppe Meazza",1936,"Soccer"
"Giuseppe Meazza",1937,"Soccer"
"Giuseppe Meazza",1938,"Soccer"
"Giuseppe Meazza",1939,"Soccer"
"Giuseppe Meazza",1940,"Soccer"
"Giuseppe Meazza",1941,"Soccer"
"Giuseppe Meazza",1942,"Soccer"
"Giuseppe Meazza",1943,"Soccer"
"Giuseppe Meazza",1944,"Soccer"
"Giuseppe Meazza",1945,"Soccer"
"Giuseppe Meazza",1946,"Soccer"
"Giuseppe Meazza",1947,"Soccer"
"Hugo Sanchez",1927,"Soccer"
"Hugo Sanchez",1928,"Soccer"
"Hugo Sanchez",1929,"Soccer"
"Hugo Sanchez",1930,"Soccer"
"Hugo Sanchez",1931,"Soccer"
"Hugo Sanchez",1932,"Soccer"
"Hugo Sanchez",1933,"Soccer"
"Hugo Sanchez",1934,"Soccer"
"Hugo Sanchez",1935,"Soccer"
"Hugo Sanchez",1936,"Soccer"
"Hugo Sanchez",1937,"Soccer"
"Hugo Sanchez",1938,"Soccer"
"Hugo Sanchez",1939,"Soccer"
"Hugo Sanchez",1940,"Soccer"
"Hugo Sanchez",1941,"Soccer"
"Hugo Sanchez",1942,"Soccer"
"Hugo Sanchez",1943,"Soccer"
"Hugo Sanchez",1944,"Soccer"
"Hugo Sanchez",1945,"Soccer"
"Hugo Sanchez",1946,"Soccer"
"Hugo Sanchez",1947,"Soccer"
"Pele",1956,"Soccer"
"Pele",1957,"Soccer"
"Pele",1958,"Soccer"
"Pele",1959,"Soccer"
"Pele",1960,"Soccer"
"Pele",1961,"Soccer"
"Pele",1962,"Soccer"
"Pele",1963,"Soccer"
"Pele",1964,"Soccer"
"Pele",1965,"Soccer"
"Pele",1966,"Soccer"
"Pele",1967,"Soccer"
"Pele",1968,"Soccer"
"Pele",1969,"Soccer"
"Pele",1970,"Soccer"
"Pele",1971,"Soccer"
"Pele",1972,"Soccer"
"Pele",1973,"Soccer"
"Pele",1974,"Soccer"
"Pele",1975,"Soccer"
"Pele",1976,"Soccer"
"Pele",1977,"Soccer"
"Cristiano Ronaldo",2002,"Soccer"
"Cristiano Ronaldo",2003,"Soccer"
"Cristiano Ronaldo",2004,"Soccer"
"Cristiano Ronaldo",2005,"Soccer"
"Cristiano Ronaldo",2006,"Soccer"
"Cristiano Ronaldo",2007,"Soccer"
"Cristiano Ronaldo",2008,"Soccer"
"Cristiano Ronaldo",2009,"Soccer"
"Cristiano Ronaldo",2010,"Soccer"
"Cristiano Ronaldo",2011,"Soccer"
"Cristiano Ronaldo",2012,"Soccer"
"Cristiano Ronaldo",2013,"Soccer"
"Cristiano Ronaldo",2014,"Soccer"
"Cristiano Ronaldo",2015,"Soccer"
"Cristiano Ronaldo",2016,"Soccer"
"Cristiano Ronaldo",2017,"Soccer"
"Cristiano Ronaldo",2018,"Soccer"
"Cristiano Ronaldo",2019,"Soccer"
"Cristiano Ronaldo",2020,"Soccer"
"Cristiano Ronaldo",2021,"Soccer"
"Cristiano Ronaldo",2022,"Soccer"
"Cristiano Ronaldo",2023,"Soccer"
"Lionel Messi",2003,"Soccer"
"Lionel Messi",2004,"Soccer"
"Lionel Messi",2005,"Soccer"
"Lionel Messi",2006,"Soccer"
"Lionel Messi",2007,"Soccer"
"Lionel Messi",2008,"Soccer"
"Lionel Messi",2009,"Soccer"
"Lionel Messi",2010,"Soccer"
"Lionel Messi",2011,"Soccer"
"Lionel Messi",2012,"Soccer"
"Lionel Messi",2013,"Soccer"
"Lionel Messi",2014,"Soccer"
"Lionel Messi",2015,"Soccer"
"Lionel Messi",2016,"Soccer"
"Lionel Messi",2017,"Soccer"
"Lionel Messi",2018,"Soccer"
"Lionel Messi",2019,"Soccer"
"Lionel Messi",2020,"Soccer"
"Lionel Messi",2021,"Soccer"
"Lionel Messi",2022,"Soccer"
"Lionel Messi",2023,"Soccer"
"Donald Bradman",1927,"Cricket"
"Donald Bradman",1928,"Cricket"
"Donald Bradman",1929,"Cricket"
"Donald Bradman",1930,"Cricket"
"Donald Bradman",1931,"Cricket"
"Donald Bradman",1932,"Cricket"
"Donald Bradman",1933,"Cricket"
"Donald Bradman",1934,"Cricket"
"Donald Bradman",1935,"Cricket"
"Donald Bradman",1936,"Cricket"
"Donald Bradman",1937,"Cricket"
"Donald Bradman",1938,"Cricket"
"Donald Bradman",1939,"Cricket"
"Donald Bradman",1940,"Cricket"
"Donald Bradman",1941,"Cricket"
"Donald Bradman",1942,"Cricket"
"Donald Bradman",1943,"Cricket"
"Donald Bradman",1944,"Cricket"
"Donald Bradman",1945,"Cricket"
"Donald Bradman",1946,"Cricket"
"Donald Bradman",1947,"Cricket"
"Donald Bradman",1948,"Cricket"
"Donald Bradman",1949,"Cricket"
"Herbert Sutcliffe",1924,"Cricket"
"Herbert Sutcliffe",1925,"Cricket"
"Herbert Sutcliffe",1926,"Cricket"
"Herbert Sutcliffe",1927,"Cricket"
"Herbert Sutcliffe",1928,"Cricket"
"Herbert Sutcliffe",1929,"Cricket"
"Herbert Sutcliffe",1930,"Cricket"
"Herbert Sutcliffe",1931,"Cricket"
"Herbert Sutcliffe",1932,"Cricket"
"Herbert Sutcliffe",1933,"Cricket"
"Herbert Sutcliffe",1934,"Cricket"
"Herbert Sutcliffe",1935,"Cricket"
"John Hobbs",1908,"Cricket"
"John Hobbs",1909,"Cricket"
"John Hobbs",1910,"Cricket"
"John Hobbs",1911,"Cricket"
"John Hobbs",1912,"Cricket"
"John Hobbs",1913,"Cricket"
"John Hobbs",1914,"Cricket"
"John Hobbs",1915,"Cricket"
"John Hobbs",1916,"Cricket"
"John Hobbs",1917,"Cricket"
"John Hobbs",1918,"Cricket"
"John Hobbs",1919,"Cricket"
"John Hobbs",1920,"Cricket"
"John Hobbs",1921,"Cricket"
"John Hobbs",1922,"Cricket"
"John Hobbs",1923,"Cricket"
"John Hobbs",1924,"Cricket"
"John Hobbs",1925,"Cricket"
"John Hobbs",1926,"Cricket"
"John Hobbs",1927,"Cricket"
"John Hobbs",1928,"Cricket"
"John Hobbs",1929,"Cricket"
"John Hobbs",1930,"Cricket"
"Bill Tilden",1912,"Tennis"
"Bill Tilden",1913,"Tennis"
"Bill Tilden",1914,"Tennis"
"Bill Tilden",1915,"Tennis"
"Bill Tilden",1916,"Tennis"
"Bill Tilden",1917,"Tennis"
"Bill Tilden",1918,"Tennis"
"Bill Tilden",1919,"Tennis"
"Bill Tilden",1920,"Tennis"
"Bill Tilden",1921,"Tennis"
"Bill Tilden",1922,"Tennis"
"Bill Tilden",1923,"Tennis"
"Bill Tilden",1924,"Tennis"
"Bill Tilden",1925,"Tennis"
"Bill Tilden",1926,"Tennis"
"Bill Tilden",1927,"Tennis"
"Bill Tilden",1928,"Tennis"
"Bill Tilden",1929,"Tennis"
"Bill Tilden",1930,"Tennis"
"Bill Tilden",1931,"Tennis"
"Bill Tilden",1932,"Tennis"
"Bill Tilden",1933,"Tennis"
"Bill Tilden",1934,"Tennis"
"Bill Tilden",1935,"Tennis"
"Bill Tilden",1936,"Tennis"
"Bill Tilden",1937,"Tennis"
"Bill Tilden",1938,"Tennis"
"Bill Tilden",1939,"Tennis"
"Bill Tilden",1940,"Tennis"
"Bill Tilden",1941,"Tennis"
"Bill Tilden",1942,"Tennis"
"Bill Tilden",1943,"Tennis"
"Bill Tilden",1944,"Tennis"
"Bill Tilden",1945,"Tennis"
"Bill Tilden",1946,"Tennis"
"Don Budge",1932,"Tennis"
"Don Budge",1933,"Tennis"
"Don Budge",1934,"Tennis"
"Don Budge",1935,"Tennis"
"Don Budge",1936,"Tennis"
"Don Budge",1937,"Tennis"
"Don Budge",1938,"Tennis"
"Don Budge",1939,"Tennis"
"Don Budge",1940,"Tennis"
"Don Budge",1941,"Tennis"
"Don Budge",1942,"Tennis"
"Don Budge",1943,"Tennis"
"Don Budge",1944,"Tennis"
"Don Budge",1945,"Tennis"
"Don Budge",1946,"Tennis"
"Don Budge",1947,"Tennis"
"Don Budge",1948,"Tennis"
"Don Budge",1949,"Tennis"
"Don Budge",1950,"Tennis"
"Don Budge",1951,"Tennis"
"Don Budge",1952,"Tennis"
"Don Budge",1953,"Tennis"
"Don Budge",1954,"Tennis"
"Don Budge",1955,"Tennis"
"Pete Sampras",1988,"Tennis"
"Pete Sampras",1989,"Tennis"
"Pete Sampras",1990,"Tennis"
"Pete Sampras",1991,"Tennis"
"Pete Sampras",1992,"Tennis"
"Pete Sampras",1993,"Tennis"
"Pete Sampras",1994,"Tennis"
"Pete Sampras",1995,"Tennis"
"Pete Sampras",1996,"Tennis"
"Pete Sampras",1997,"Tennis"
"Pete Sampras",1998,"Tennis"
"Pete Sampras",1999,"Tennis"
"Pete Sampras",2000,"Tennis"
"Pete Sampras",2001,"Tennis"
"Pete Sampras",2002,"Tennis"
"Rod Laver",1956,"Tennis"
"Rod Laver",1957,"Tennis"
"Rod Laver",1958,"Tennis"
"Rod Laver",1959,"Tennis"
"Rod Laver",1960,"Tennis"
"Rod Laver",1961,"Tennis"
"Rod Laver",1962,"Tennis"
"Rod Laver",1963,"Tennis"
"Rod Laver",1964,"Tennis"
"Rod Laver",1965,"Tennis"
"Rod Laver",1966,"Tennis"
"Rod Laver",1967,"Tennis"
"Rod Laver",1968,"Tennis"
"Rod Laver",1969,"Tennis"
"Rod Laver",1970,"Tennis"
"Rod Laver",1971,"Tennis"
"Rod Laver",1972,"Tennis"
"Rod Laver",1973,"Tennis"
"Rod Laver",1974,"Tennis"
"Rod Laver",1975,"Tennis"
"Rod Laver",1976,"Tennis"
"Rod Laver",1977,"Tennis"
"Rod Laver",1978,"Tennis"
"Rod Laver",1979,"Tennis"
"Roger Federer",1998,"Tennis"
"Roger Federer",1999,"Tennis"
"Roger Federer",2000,"Tennis"
"Roger Federer",2001,"Tennis"
"Roger Federer",2002,"Tennis"
"Roger Federer",2003,"Tennis"
"Roger Federer",2004,"Tennis"
"Roger Federer",2005,"Tennis"
"Roger Federer",2006,"Tennis"
"Roger Federer",2007,"Tennis"
"Roger Federer",2008,"Tennis"
"Roger Federer",2009,"Tennis"
"Roger Federer",2010,"Tennis"
"Roger Federer",2011,"Tennis"
"Roger Federer",2012,"Tennis"
"Roger Federer",2013,"Tennis"
"Roger Federer",2014,"Tennis"
"Roger Federer",2015,"Tennis"
"Roger Federer",2016,"Tennis"
"Roger Federer",2017,"Tennis"
"Roger Federer",2018,"Tennis"
"Roger Federer",2019,"Tennis"
"Roger Federer",2020,"Tennis"
"Roger Federer",2021,"Tennis"
"Roger Federer",2022,"Tennis"
"Novak Djokovic",2003,"Tennis"
