"Player","Sport","Decade"
"Alfredo di Stefano","Soccer","1940s"
"Alfredo di Stefano","Soccer","1950s"
"Alfredo di Stefano","Soccer","1960s"
"Diego Maradona","Soccer","1970s"
"Diego Maradona","Soccer","1980s"
"Diego Maradona","Soccer","1990s"
"Ferenc Puskas","Soccer","1940s"
"Ferenc Puskas","Soccer","1950s"
"Ferenc Puskas","Soccer","1960s"
"Giuseppe Meazza","Soccer","None"
"Giuseppe Meazza","Soccer","1940s"
"Hugo Sanchez","Soccer","None"
"Hugo Sanchez","Soccer","1940s"
"Pele","Soccer","1950s"
"Pele","Soccer","1960s"
"Pele","Soccer","1970s"
"Cristiano Ronaldo","Soccer","2000s"
"Cristiano Ronaldo","Soccer","2010s"
"Cristiano Ronaldo","Soccer","None"
"Lionel Messi","Soccer","2000s"
"Lionel Messi","Soccer","2010s"
"Lionel Messi","Soccer","None"
"Donald Bradman","Cricket","None"
"Donald Bradman","Cricket","1940s"
"Herbert Sutcliffe","Cricket","None"
"John Hobbs","Cricket","None"
"Bill Tilden","Tennis","None"
"Bill Tilden","Tennis","1940s"
"Don Budge","Tennis","None"
"Don Budge","Tennis","1940s"
"Don Budge","Tennis","1950s"
"Pete Sampras","Tennis","1980s"
"Pete Sampras","Tennis","1990s"
"Pete Sampras","Tennis","2000s"
"Rod Laver","Tennis","1950s"
"Rod Laver","Tennis","1960s"
"Rod Laver","Tennis","1970s"
"Roger Federer","Tennis","1990s"
"Roger Federer","Tennis","2000s"
"Roger Federer","Tennis","2010s"
"Roger Federer","Tennis","None"
"Novak Djokovic","Tennis","2000s"
"Novak Djokovic","Tennis","2010s"
"Novak Djokovic","Tennis","None"
"Rafael Nadal","Tennis","2000s"
"Rafael Nadal","Tennis","2010s"
"Rafael Nadal","Tennis","None"
"Richard Sears","Tennis","None"
"Roy Emerson","Tennis","1950s"
"Roy Emerson","Tennis","1960s"
"Roy Emerson","Tennis","1970s"
"Roy Emerson","Tennis","1980s"
"William Larned","Tennis","None"
"William Renshaw","Tennis","None"
"Bill Russell","Basketball","1950s"
"Bill Russell","Basketball","1960s"
"George Mikan","Basketball","1940s"
"George Mikan","Basketball","1950s"
"Kareem Abdul-Jabbar","Basketball","1960s"
"Kareem Abdul-Jabbar","Basketball","1970s"
"Kareem Abdul-Jabbar","Basketball","1980s"
"Michael Jordan","Basketball","1980s"
"Michael Jordan","Basketball","1990s"
"Michael Jordan","Basketball","2000s"
"Wilt Chamberlain","Basketball","1950s"
"Wilt Chamberlain","Basketball","1960s"
"Wilt Chamberlain","Basketball","1970s"
"John Stockton","Basketball","1980s"
"John Stockton","Basketball","1990s"
"John Stockton","Basketball","2000s"
"Lebron James","Basketball","2000s"
"Lebron James","Basketball","2010s"
"Lebron James","Basketball","None"
"Babe Ruth","Baseball","None"
"Cy Young","Baseball","None"
"Honus Wagner","Baseball","None"
"Ty Cobb","Baseball","None"
"Barry Bonds","Baseball","1980s"
"Barry Bonds","Baseball","1990s"
"Barry Bonds","Baseball","2000s"
"Joe DiMaggio","Baseball","None"
"Joe DiMaggio","Baseball","1940s"
"Joe DiMaggio","Baseball","1950s"
"Lou Gehrig","Baseball","None"
"Stan Musial","Baseball","1940s"
"Stan Musial","Baseball","1950s"
"Stan Musial","Baseball","1960s"
"Ted Williams","Baseball","None"
"Ted Williams","Baseball","1940s"
"Ted Williams","Baseball","1950s"
"Ted Williams","Baseball","1960s"
"Don Hutson","Football","None"
"Don Hutson","Football","1940s"
"Jerry Rice","Football","1980s"
"Jerry Rice","Football","1990s"
"Jerry Rice","Football","2000s"
"Jim Brown","Football","1950s"
"Jim Brown","Football","1960s"
"Jim Thorpe","Football","None"
"Johnny Unitas","Football","1950s"
"Johnny Unitas","Football","1960s"
"Johnny Unitas","Football","1970s"
"Lawrence Taylor","Football","1980s"
"Lawrence Taylor","Football","1990s"
"Otto Graham","Football","1940s"
"Otto Graham","Football","1950s"
"Tom Brady","Football","2000s"
"Tom Brady","Football","2010s"
"Tom Brady","Football","None"
"Brett Favre","Football","1990s"
"Brett Favre","Football","2000s"
"Brett Favre","Football","2010s"
"Peyton Manning","Football","1990s"
"Peyton Manning","Football","2000s"
"Peyton Manning","Football","2010s"
"Gordie Howe","Hockey","1940s"
"Gordie Howe","Hockey","1950s"
"Gordie Howe","Hockey","1960s"
"Gordie Howe","Hockey","1970s"
"Gordie Howe","Hockey","1980s"
"Joe Malone","Hockey","None"
"Maurice Richard","Hockey","1940s"
"Maurice Richard","Hockey","1950s"
"Maurice Richard","Hockey","1960s"
"Newsy Lalonde","Hockey","None"
"Wayne Gretzky","Hockey","1970s"
"Wayne Gretzky","Hockey","1980s"
"Wayne Gretzky","Hockey","1990s"
"Mark Messier","Hockey","1970s"
"Mark Messier","Hockey","1980s"
"Mark Messier","Hockey","1990s"
"Mark Messier","Hockey","2000s"
"Harry Vardon","Golf","None"
"Jack Nicklaus","Golf","1960s"
"Jack Nicklaus","Golf","1970s"
"Jack Nicklaus","Golf","1980s"
"John Henry Taylor","Golf","None"
"Walter Hagen","Golf","None"
"Byron Nelson","Golf","None"
"Byron Nelson","Golf","1940s"
"Sam Snead","Golf","1940s"
"Sam Snead","Golf","1950s"
"Tiger Woods","Golf","1990s"
"Tiger Woods","Golf","2000s"
"Tiger Woods","Golf","2010s"
"Bobby Fischer","Chess","1950s"
"Bobby Fischer","Chess","1960s"
"Bobby Fischer","Chess","1970s"
"Bobby Fischer","Chess","1990s"
"Garry Kasparov","Chess","1970s"
"Garry Kasparov","Chess","1980s"
"Garry Kasparov","Chess","1990s"
"Garry Kasparov","Chess","2000s"
"Magnus Carlson","Chess","2000s"
"Magnus Carlson","Chess","2010s"
"Magnus Carlson","Chess","None"
"Mikhail Botvinnik","Chess","None"
"Mikhail Botvinnik","Chess","1940s"
"Mikhail Botvinnik","Chess","1950s"
"Mikhail Botvinnik","Chess","1960s"
"Mikhail Botvinnik","Chess","1970s"
"Alain Gottvalles","Swimming","1960s"
"Alexander Popov","Swimming","1990s"
"Alexander Popov","Swimming","2000s"
"Cesar Cielo","Swimming","2000s"
"Cesar Cielo","Swimming","2010s"
"Cesar Cielo","Swimming","None"
"David Popovici","Swimming","None"
"Eamon Sullivan","Swimming","2000s"
"Jim Montgomery","Swimming","1970s"
"John Devitt","Swimming","1950s"
"John Devitt","Swimming","1960s"
"Jon Henricks","Swimming","1950s"
"Jon Henricks","Swimming","1960s"
"Jonty Skinner","Swimming","1970s"
"Kenneth Walsh","Swimming","1960s"
"Manuel Dos Santos","Swimming","1950s"
"Manuel Dos Santos","Swimming","1960s"
"Mark Spitz","Swimming","1960s"
"Mark Spitz","Swimming","1970s"
"Matt Biondi","Swimming","1980s"
"Matt Biondi","Swimming","1990s"
"Pieter Van Den Hoogenband","Swimming","1990s"
"Pieter Van Den Hoogenband","Swimming","2000s"
"Rowdy Gaines","Swimming","1970s"
"Rowdy Gaines","Swimming","1980s"
"Michael Phelps","Swimming","2000s"
"Michael Phelps","Swimming","2010s"
